course_id,name
spectroscopy,Introduction to Molecular Spectroscopy
uva-darden-foundations-business-strategy,Foundations of Business Strategy
python-for-data-visualization,Data Visualization with Python
healthcarejobs,Career 911: Your Future Job in Medicine and Healthcare
data-management,Research Data Management and Sharing
wharton-entrepreneurship-opportunity,Entrepreneurship 1: Developing the Opportunity
preparing-cloud-professional-cloud-architect-exam,Preparing for the Google Cloud Professional Cloud Architect Exam
teachlanguageonline,Teach English Now! Teaching Language Online
addiction-treatment,Addiction Treatment: Clinical Skills for Healthcare Providers
how-things-work,How Things Work: An Introduction to Physics
fondamentaux-negociation,Les Fondamentaux de la Négociation
uva-darden-agile-testing,Hypothesis-Driven Development
indigenous-canada,Indigenous Canada
manage-health-covid-19,Mind Control: Managing Your Mental Health During COVID-19
intro-data-science-programacion-estadistica-r,Introducción a Data Science: Programación Estadística con R
information-security-data,Information Security: Context and Introduction
making-architecture,Making Architecture
global-energy,Politics and Economics of International Energy
process-mining,Process Mining: Data science in Action
epidemic-pandemic-outbreak,"Epidemics, Pandemics and Outbreaks"
embedded-software-hardware,Embedded Software and Hardware Architecture
sas-programming-basics,Getting Started with SAS Programming
environmental-law,Introduction to Environmental Law and Policy
cybersecurity-compliance-framework-system-administration,Cybersecurity Compliance Framework & System Administration
getting-started-with-essay-writing,Getting Started with Essay Writing
removing-barriers-to-change,Removing Barriers to Change
project-execution,Project Execution
google-cloud-product-fundamentals,Google Cloud Product Fundamentals
electronics,Introduction to Electronics
supply-chain-principles,Supply Chain Principles
competencias-digitales-ofimatica,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)"
everyday-chinese-medicine,Everyday Chinese Medicine
sports-marketing,Sports Marketing
data-analytics-for-lean-six-sigma,Data Analytics for Lean Six Sigma
marketing-gerencial,Marketing Gerencial
horse-care,The Horse Course: Introduction to Basic Care and Management
ciencia-computacao-python-conceitos,Introdução à Ciência da Computação com Python Parte 1
project-planning-1,Project Planning
introduction-statistics-data-analysis-public-health,Introduction to Statistics & Data Analysis in Public Health
essentials-global-health,Essentials of Global Health
the-cycle,The Cycle: Management of Successful Arts and Cultural Organizations
preparing-cloud-associate-cloud-engineer-exam,Preparing for the Google Cloud Associate Cloud Engineer Exam
project-risk-management,Managing Project Risks and Changes
wharton-communication-skills,Improving Communication Skills
international-security-management,International Security Management
gestionempresarialpyme,Gestión Empresarial Exitosa para Pymes
excel-vba-for-creative-problem-solving-part-1,"Excel/VBA for Creative Problem Solving, Part 1"
drug-discovery,Drug Discovery
dentistry101,Dentistry 101
guitar,Guitar for Beginners
positive-psychology-applications,Positive Psychology: Applications and Interventions
aws-fundamentals-addressing-security-risk,AWS Fundamentals: Addressing Security Risk
big-data-introduction,Introduction to Big Data
the-science-of-well-being,The Science of Well-Being
technical-support-fundamentals,Technical Support Fundamentals
